treatment,56135
europe,55953
wuhanvirus,55878
pra,55861
affected,55413
infections,55192
little,55143
ng,55138
schools,55094
businesses,55066
uma,54849
threat,54636
25,54614
relief,54567
positivo,54559
sono,54316
chine,54155
flights,54083
im,54059
likely,53996
500,53917
concerns,53884
continue,53799
gracias,52977
ini,52944
thread,52885
aquí,52811
population,52749
lol,52645
mal,52494
petition,52472
month,52462
seriously,52438
yg,52288
link,52021
ok,51875
makes,51776
markets,51754
deal,51666
war,51662
australia,51424
gets,51259
truth,50971
17,50897
casi,50868
nhs,50688
found,50575
all,50544
including,50542
venezuela,50520
looking,50290
less,50195
stayathome,50118
official,50089
wait,50028
tan,50020
mean,49669
confinement,49642
13,49530
seen,49328
hubei,49162
narendramodi,49147
started,49146
avoid,49125
ist,49020
of,48992
wrong,48992
años,48973
left,48970
mundial,48865
questions,48824
used,48534
kids,48496
coronavirusupdate,48447
dice,48335
la,48164
idea,48068
name,48038
16,48012
zero,47993
else,47979
vamos,47947
three,47881
probably,47857
we,47726
confirms,47642
party,47633
fact,47521
available,47503
seems,47477
dies,47418
action,47413
remember,47401
current,47343
21,47321
gov,47299
vida,47287
shows,47189
ils,47142
listen,47058
mejor,46846
police,46667
morning,46660
della,46572
ang,46526
africa,46416
tem,46409
taken,46396
you,46249
guys,46199
fighting,46128
wo,46118
vez,46082
early,46054
safety,46050
question,45931
understand,45917
on,45910
infectados,45892
mayor,45870
try,45851
scientists,45798
worldwide,45676
60,45645
service,45496
epidemia,45455
ke,45384
wow,45270
40,45185
racist,45126
en,45088
nation,45080
vai,45075
favor,45065
instead,45063
related,44938
stupid,44827
tener,44758
second,44679
services,44614
research,44551
tv,44517
children,44442
force,44381
información,44281
international,44263
bir,44245
problem,44234
millions,44184
stocks,44094
den,44048
details,44005
small,44000
ready,43952
california,43951
ask,43929
países,43928
normal,43864
talking,43840
wash,43763
is,43659
gop,43552
woman,43531
momento,43518
companies,43439
personal,43236
कर,43225
evitar,43221
mil,43197
april,43192
talk,43161
buy,43110
means,43094
low,42936
anti,42898
worst,42860
essential,42808
dying,42744
donald,42700
democrats,42696
emergencia,42674
passengers,42665
lab,42592
rest,42555
vote,42551
tiempo,42439
flight,42378
cada,42370
press,42334
set,42283
wants,42271
hear,42187
needed,42116
pa,42109
learn,42105
dari,42056
message,42030
become,42015
cancelled,41885
ban,41874
rise,41871
worried,41868
despite,41828
san,41795
dia,41699
più,41572
ppl,41534
negative,41482
potus,41413
que,41408
facebook,41345
socialdistancing,41325
looks,41317
warns,41315
thousands,41313
aux,41288
send,41249
able,41179
miedo,41131
line,41123
healthy,41087
came,41063
reason,41060
drug,41017
office,40893
congress,40845
apple,40797
guy,40755
ont,40663
un,40640
argentina,40571
bu,40493
different,40454
boris,40398
employees,40396
supplies,40368
hey,40250
dangerous,40187
damn,40124
sad,40112
ta,40097
tout,40012
industry,39979
johnson,39952
web,39896
200,39867
2019ncov,39793
general,39732
dios,39683
moment,39678
federal,39676
science,39628
company,39612
comes,39610
80,39401
untuk,39340
fait,39317
group,39268
italian,39250
indonesia,39246
reuters,39165
calling,39111
paper,38943
causa,38817
yesterday,38797
faire,38682
ci,38678
dont,38676
contre,38662
nicht,38532
bring,38469
political,38412
stimulus,38379
inside,38373
nuevos,38365
zu,38284
ir,38266
administration,38195
families,38074
demand,38028
according,38023
spain,37972
europa,37930
muertes,37785
noticias,37595
almost,37574
leadership,37555
list,37545
